Timestamp,Visibility Score,Fog Level,Alert Sent
2026-04-18 11:22:35,49.2,MODERATE FOG,False
2026-04-18 11:22:35,54.5,MODERATE FOG,False
2026-04-18 11:22:36,46.4,MODERATE FOG,False
2026-04-18 11:22:36,49.0,MODERATE FOG,False
2026-04-18 11:22:37,38.8,DENSE FOG,False
2026-04-18 11:22:37,43.7,MODERATE FOG,False
2026-04-18 11:22:38,49.2,MODERATE FOG,False
2026-04-18 11:22:38,51.5,MODERATE FOG,False
2026-04-18 11:22:39,56.8,MODERATE FOG,False
2026-04-18 11:22:39,47.8,MODERATE FOG,False
2026-04-18 11:22:40,54.8,MODERATE FOG,False
2026-04-18 11:22:40,59.6,MODERATE FOG,False
2026-04-18 11:22:41,59.6,MODERATE FOG,False
2026-04-18 11:22:41,62.7,MODERATE FOG,False
2026-04-18 11:22:42,65.7,MODERATE FOG,False
2026-04-18 11:22:42,66.4,MODERATE FOG,False
2026-04-18 11:22:43,66.4,MODERATE FOG,False
2026-04-18 11:22:43,65.8,MODERATE FOG,False
2026-04-18 11:22:44,64.9,MODERATE FOG,False
2026-04-18 11:22:44,66.4,MODERATE FOG,False
2026-04-18 11:22:45,63.9,MODERATE FOG,False
2026-04-18 11:22:45,50.1,MODERATE FOG,False
2026-04-18 11:22:46,59.3,MODERATE FOG,False
2026-04-18 11:22:46,33.0,DENSE FOG,False
2026-04-18 11:22:47,41.1,MODERATE FOG,False
2026-04-18 11:22:47,44.1,MODERATE FOG,False
2026-04-18 11:22:48,41.4,MODERATE FOG,False
2026-04-18 11:22:48,35.1,DENSE FOG,False
2026-04-18 11:22:49,36.6,DENSE FOG,False
2026-04-18 11:22:49,39.1,DENSE FOG,False
2026-04-18 11:22:50,36.2,DENSE FOG,False
2026-04-18 11:22:50,38.4,DENSE FOG,False
2026-04-18 11:22:51,37.8,DENSE FOG,False
2026-04-18 11:22:51,37.1,DENSE FOG,False
2026-04-18 11:22:52,37.7,DENSE FOG,False
2026-04-18 11:26:18,49.6,MODERATE FOG
2026-04-18 11:26:19,37.9,DENSE FOG
2026-04-18 11:26:20,37.9,DENSE FOG
2026-04-18 11:26:22,37.9,DENSE FOG
2026-04-18 11:26:23,37.8,DENSE FOG
2026-04-18 11:26:24,38.1,DENSE FOG
2026-04-18 11:26:25,38.1,DENSE FOG
2026-04-18 11:26:26,37.7,DENSE FOG
2026-04-18 11:26:27,37.9,DENSE FOG
2026-04-18 11:26:28,37.9,DENSE FOG
2026-04-18 11:26:29,38.1,DENSE FOG
2026-04-18 11:26:30,1.8,DENSE FOG
2026-04-18 11:26:31,4.4,DENSE FOG
2026-04-18 11:26:32,3.9,DENSE FOG
2026-04-18 11:26:33,3.3,DENSE FOG
2026-04-18 11:26:34,38.8,DENSE FOG
2026-04-18 11:26:35,34.7,DENSE FOG
2026-04-18 11:26:36,4.1,DENSE FOG
2026-04-18 11:26:37,26.1,DENSE FOG
2026-04-18 11:26:38,40.7,MODERATE FOG
2026-04-18 11:26:39,40.2,MODERATE FOG
2026-04-18 11:26:40,35.3,DENSE FOG
2026-04-18 11:26:41,36.4,DENSE FOG
2026-04-18 11:26:42,38.3,DENSE FOG
2026-04-18 11:26:43,35.7,DENSE FOG
2026-04-18 11:26:44,36.5,DENSE FOG
2026-04-18 11:26:45,37.1,DENSE FOG
2026-04-18 11:26:46,0.4,DENSE FOG
2026-04-18 11:26:47,2.4,DENSE FOG
2026-04-18 11:26:48,31.2,DENSE FOG
2026-04-18 11:26:49,34.2,DENSE FOG
2026-04-18 11:26:50,34.5,DENSE FOG
2026-04-18 11:26:51,37.8,DENSE FOG
2026-04-18 11:26:52,35.1,DENSE FOG
2026-04-18 11:26:53,34.9,DENSE FOG
2026-04-18 11:26:55,35.2,DENSE FOG
2026-04-18 11:26:56,35.6,DENSE FOG
2026-04-18 11:26:57,35.4,DENSE FOG
2026-04-18 11:26:58,36.0,DENSE FOG
2026-04-18 11:26:59,40.4,MODERATE FOG
2026-04-18 11:27:00,38.5,DENSE FOG
2026-04-18 11:27:01,37.9,DENSE FOG
2026-04-18 11:27:02,37.7,DENSE FOG
2026-04-18 11:27:03,35.9,DENSE FOG
2026-04-18 11:27:04,37.5,DENSE FOG
2026-04-18 11:27:05,35.7,DENSE FOG
2026-04-18 11:27:06,36.1,DENSE FOG
2026-04-18 11:27:07,36.1,DENSE FOG
2026-04-18 11:27:08,36.6,DENSE FOG
2026-04-18 11:27:09,37.2,DENSE FOG
2026-04-18 11:27:10,38.2,DENSE FOG
2026-04-18 11:27:11,36.2,DENSE FOG
2026-04-18 11:27:12,36.0,DENSE FOG
2026-04-18 11:27:13,36.1,DENSE FOG
2026-04-18 11:27:14,36.0,DENSE FOG
2026-04-18 11:27:15,34.7,DENSE FOG
2026-04-18 11:27:16,38.3,DENSE FOG
2026-04-18 11:27:17,44.3,MODERATE FOG
2026-04-18 11:27:18,38.6,DENSE FOG
2026-04-18 11:27:19,33.5,DENSE FOG
2026-04-18 11:27:20,36.6,DENSE FOG
2026-04-18 11:27:21,36.7,DENSE FOG
2026-04-18 11:27:22,43.5,MODERATE FOG
2026-04-18 11:27:23,25.1,DENSE FOG
2026-04-18 11:27:24,34.4,DENSE FOG
2026-04-18 11:27:25,30.0,DENSE FOG
2026-04-18 11:27:26,34.4,DENSE FOG
2026-04-18 11:27:27,36.3,DENSE FOG
2026-04-18 11:27:28,34.2,DENSE FOG
2026-04-18 11:27:30,33.1,DENSE FOG
2026-04-18 11:27:31,35.7,DENSE FOG
2026-04-18 11:27:32,36.7,DENSE FOG
2026-04-18 11:27:33,35.9,DENSE FOG
2026-04-18 11:27:34,36.1,DENSE FOG
2026-04-18 11:27:35,35.5,DENSE FOG
2026-04-18 11:27:36,35.2,DENSE FOG
2026-04-18 11:27:37,38.4,DENSE FOG
2026-04-18 11:27:38,38.6,DENSE FOG
2026-04-18 11:27:39,36.9,DENSE FOG
2026-04-18 11:27:40,39.4,DENSE FOG
2026-04-18 11:27:41,38.0,DENSE FOG
2026-04-18 11:27:42,37.7,DENSE FOG
2026-04-18 11:27:43,32.0,DENSE FOG
2026-04-18 11:27:44,40.1,MODERATE FOG
2026-04-18 11:27:45,37.7,DENSE FOG
2026-04-18 11:27:46,37.9,DENSE FOG
2026-04-18 11:27:47,38.0,DENSE FOG
2026-04-18 11:27:48,40.7,MODERATE FOG
2026-04-18 11:27:49,37.7,DENSE FOG
2026-04-18 11:27:50,36.0,DENSE FOG
2026-04-18 11:27:51,37.7,DENSE FOG
2026-04-18 11:27:52,40.3,MODERATE FOG
2026-04-18 11:27:53,39.6,DENSE FOG
2026-04-18 11:27:54,37.6,DENSE FOG
2026-04-18 11:27:55,36.8,DENSE FOG
2026-04-18 11:27:56,39.0,DENSE FOG
2026-04-18 11:27:57,39.5,DENSE FOG
2026-04-18 11:27:58,36.9,DENSE FOG
2026-04-18 11:27:59,36.9,DENSE FOG
2026-04-18 11:28:00,36.7,DENSE FOG
2026-04-18 11:28:01,36.7,DENSE FOG
2026-04-18 11:28:02,36.2,DENSE FOG
2026-04-18 11:28:03,37.9,DENSE FOG
2026-04-18 11:28:04,38.1,DENSE FOG
2026-04-18 11:28:06,37.4,DENSE FOG
2026-04-18 11:28:07,36.9,DENSE FOG
2026-04-18 11:28:08,36.8,DENSE FOG
2026-04-18 11:28:09,37.0,DENSE FOG
2026-04-18 11:28:10,36.9,DENSE FOG
2026-04-18 11:28:11,37.2,DENSE FOG
2026-04-18 11:28:12,37.0,DENSE FOG
2026-04-18 11:28:13,36.9,DENSE FOG
2026-04-18 11:28:14,36.7,DENSE FOG
2026-04-18 11:28:15,36.5,DENSE FOG
2026-04-18 11:28:16,36.1,DENSE FOG
2026-04-18 11:28:17,36.0,DENSE FOG
2026-04-18 11:28:18,35.9,DENSE FOG
2026-04-18 11:28:19,36.0,DENSE FOG
2026-04-18 11:28:20,35.8,DENSE FOG
2026-04-18 11:28:21,35.6,DENSE FOG
2026-04-18 11:28:22,36.2,DENSE FOG
2026-04-18 11:28:23,36.5,DENSE FOG
2026-04-18 11:28:24,36.5,DENSE FOG
2026-04-18 11:28:25,36.5,DENSE FOG
2026-04-18 11:28:26,36.5,DENSE FOG
2026-04-18 11:28:27,36.5,DENSE FOG
2026-04-18 11:28:28,36.2,DENSE FOG
2026-04-18 11:28:29,36.4,DENSE FOG
2026-04-18 11:28:30,36.2,DENSE FOG
2026-04-18 11:28:31,35.9,DENSE FOG
2026-04-18 11:28:32,42.9,MODERATE FOG
2026-04-18 11:28:33,41.6,MODERATE FOG
2026-04-18 11:28:34,41.0,MODERATE FOG
2026-04-18 11:28:35,40.5,MODERATE FOG
2026-04-18 11:28:36,40.3,MODERATE FOG
2026-04-18 11:28:37,40.3,MODERATE FOG
2026-04-18 11:28:38,39.1,DENSE FOG
2026-04-18 11:28:39,34.2,DENSE FOG
2026-04-18 11:28:40,33.8,DENSE FOG
2026-04-18 11:28:42,36.5,DENSE FOG
2026-04-18 11:28:43,35.3,DENSE FOG
2026-04-18 11:28:44,34.9,DENSE FOG
2026-04-18 11:28:45,34.9,DENSE FOG
2026-04-18 11:28:46,38.9,DENSE FOG
2026-04-18 11:28:47,38.9,DENSE FOG
2026-04-18 11:28:48,36.7,DENSE FOG
2026-04-18 11:28:49,35.9,DENSE FOG
2026-04-18 11:28:50,36.5,DENSE FOG
2026-04-18 11:28:51,41.9,MODERATE FOG
2026-04-18 11:28:52,37.1,DENSE FOG
2026-04-18 11:28:53,36.7,DENSE FOG
2026-04-18 11:28:54,36.9,DENSE FOG
2026-04-18 11:28:55,34.2,DENSE FOG
2026-04-18 11:28:56,34.3,DENSE FOG
2026-04-18 11:28:57,36.0,DENSE FOG
2026-04-18 11:28:58,35.9,DENSE FOG
2026-04-18 11:28:59,36.7,DENSE FOG
2026-04-18 11:29:00,35.9,DENSE FOG
